1.000000000000000000e+00,9.971857360126867853e-01,9.971857360126867853e-01,0.000000000000000000e+00,1.000000000000000444e+00
9.949999999999999956e-01,8.417133034479629128e-01,8.780959170958464455e-01,3.638261364788358126e-02,9.922361111111115406e-01
9.899999999999999911e-01,7.015721698605351664e-01,7.664573029006427340e-01,6.488513304010752603e-02,9.845000000000003748e-01
9.849999999999999867e-01,5.710127200779806511e-01,6.613782247460018304e-01,9.036550466802123482e-02,9.767916666666669467e-01
9.799999999999999822e-01,4.484725006645535195e-01,5.623339630649752952e-01,1.138614624004217896e-01,9.691111111111114784e-01
9.749999999999999778e-01,3.333037973009743138e-01,4.691715897077808339e-01,1.358677924068065201e-01,9.614583333333338588e-01
9.699999999999999734e-01,2.252216390725813866e-01,3.818986691084795826e-01,1.566770300358981960e-01,9.538333333333337549e-01
9.649999999999999689e-01,1.241592172384493875e-01,3.006424237993879922e-01,1.764832065609386047e-01,9.462361111111113887e-01
9.599999999999999645e-01,3.040655678280468344e-02,2.258313084870362808e-01,1.954247517042315974e-01,9.386666666666668712e-01
9.549999999999999600e-01,0.000000000000000000e+00,1.580682908792070962e-01,2.136055637179497257e-01,9.311250000000003135e-01
9.499999999999999556e-01,0.000000000000000000e+00,9.836033056963328081e-02,2.311065970387662649e-01,9.236111111111114935e-01
9.449999999999999512e-01,0.000000000000000000e+00,4.842717470073684694e-02,2.479927725523446425e-01,9.161250000000001892e-01
9.399999999999999467e-01,0.000000000000000000e+00,1.102008202049450589e-02,2.643173583237519164e-01,9.086666666666669556e-01
9.349999999999999423e-01,0.000000000000000000e+00,8.306640056007785766e-08,2.801248831091844860e-01,9.012361111111114598e-01
